# ind =     1, ny =  2000, ndof =     5, ymax =  2.3387059397936E+01
 0.0000000000000E+00  9.8231827111984E-01  0.0000000000000E+00  0.0000000000000E+00  0.0000000000000E+00  1.0180000000000E+00
 2.1500913615531E+00  9.9683394283906E-01  9.0588845365831E-01  0.0000000000000E+00 -5.3994369838772E-02  1.0031761129160E+00
 2.1618151102495E+00  9.9688762897182E-01  9.0758873612380E-01  0.0000000000000E+00 -5.3229181792895E-02  1.0031220881248E+00
 2.1735382314148E+00  9.9694066584476E-01  9.0926476107542E-01  0.0000000000000E+00 -5.2469194295239E-02  1.0030687224025E+00
 2.1852607327364E+00  9.9699305582151E-01  9.1091674866198E-01  0.0000000000000E+00 -5.1714507110744E-02  1.0030160131617E+00
 2.1969826218711E+00  9.9704480137120E-01  9.1254491910279E-01  0.0000000000000E+00 -5.0965216128736E-02  1.0029639577126E+00
 2.2087039064435E+00  9.9709590506643E-01  9.1414949265810E-01  0.0000000000000E+00 -5.0221413404608E-02  1.0029125532648E+00
 2.2204245940449E+00  9.9714636958120E-01  9.1573068959961E-01  0.0000000000000E+00 -4.9483187202343E-02  1.0028617969296E+00
 2.2321446922325E+00  9.9719619768891E-01  9.1728873018070E-01  0.0000000000000E+00 -4.8750622037821E-02  1.0028116857220E+00
 2.2438642085280E+00  9.9724539226025E-01  9.1882383460663E-01  0.0000000000000E+00 -4.8023798722903E-02  1.0027622165629E+00
 2.2555831504165E+00  9.9729395626116E-01  9.2033622300461E-01  0.0000000000000E+00 -4.7302794410245E-02  1.0027133862808E+00
 2.2673015253456E+00  9.9734189275067E-01  9.2182611539384E-01  0.0000000000000E+00 -4.6587682638807E-02  1.0026651916145E+00
 2.2790193407241E+00  9.9738920487889E-01  9.2329373165542E-01  0.0000000000000E+00 -4.5878533380040E-02  1.0026176292147E+00
 2.2907366039214E+00  9.9743589588481E-01  9.2473929150232E-01  0.0000000000000E+00 -4.5175413084696E-02  1.0025706956465E+00
 2.3024533222660E+00  9.9748196909422E-01  9.2616301444926E-01  0.0000000000000E+00 -4.4478384730252E-02  1.0025243873912E+00
 2.3141695030451E+00  9.9752742791761E-01  9.2756511978257E-01  0.0000000000000E+00 -4.3787507868893E-02  1.0024787008489E+00
